Site,Parent,Profit Status,PI Name,NPI Number,Street Address,Zip Code,City,State,2024 Payments,Top Therapeutic Area,Top Protocol,Website,is_hot_lead,is_existing_customer,is_competitor_customer,has_contact_info,lat,lng,priority_score,revenue_tier
Alaska Oncology And Hematology,,FPO,Steven Liu,1164462834.0,"2925 DeBarr Rd Building D, Suite 300, Anchorage, AK 99508, USA",99508.0,Anchorage,AK,1975359.16,Oncology,CABL001AUS08,http://alaskaoncology.com/,True,False,False,False,62.27256997116045,-153.3609880089265,155,Tier 2 ($1M-$5M)
Alaska Spince Centerurology,,FPO,Patrick Higgins,1285642470.0,188 W Northern Lights Blvd Ste 800,99503.0,Anchorage,AK,559286.08,Ophthalmology,22153,Not Found,False,False,False,False,61.13903827054246,-152.68821773350118,30,Tier 3 ($500K-$1M)
Orthopedic Physicians Alaska,,FPO,John Botson,1881700334.0,"3801 Lake Otis Pkwy, Anchorage, AK 99508, USA",99508.0,Anchorage,AK,450339.01,Rheumatology,HZNP-KRY-409,https://www.opalaska.com/?utm_source=GMBSocialClimb&utm_medium=OPA%E2%80%93OrthopedicPhysiciansAlaska,False,False,False,False,62.27256997116045,-153.3609880089265,20,Tier 4 (<$500K)
Alaska Cardiovascular Research Foundation,,NPO,Jacob Kelly,1851551949.0,3841 Piper St,99508.0,Anchorage,AK,138256.96,Cardiology,CKJX839B12302,Not Found,False,False,False,False,62.27256997116045,-153.3609880089265,10,Tier 4 (<$500K)
Advanced Cardiovascular,,FPO,Brian Foley,1871539593.0,"1649 AL-22, Alexander City, AL 35010, USA",35010.0,Alexander City,AL,509655.5,Cardiology,70033093AFL3002,,False,False,False,False,33.066761028229195,-86.00794162737468,40,Tier 3 ($500K-$1M)
Sec Clinical Research,,FPO,Guy Middleton,1053410993.0,822 S Three Notch St Ste B,36420.0,Andalusia,AL,1263714.01,Infectious Disease,mRNA-1647-P301,,True,False,False,False,31.81781008598459,-87.32449003662165,155,Tier 2 ($1M-$5M)
Pinnacle Research Group,Pinnacle Clinical Research,FPO,Almena Free,1144244070.0,"409 E 10th St Suite 200, Anniston, AL 36207, USA",36207.0,Anniston,AL,2181117.69,Infectious Disease,mRNA-1010-P303,http://www.pinnacletrials.com/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,True,False,False,False,33.43282496353094,-87.98558716029602,155,Tier 2 ($1M-$5M)
North Alabama Research Center,New Horizon Research Group,FPO,Christopher Edwards,1619187663.0,"721 Market St W # B, Athens, AL 35611, USA",35611.0,Athens,AL,1880721.89,Infectious Disease,mRNA-1010-P303,https://newhorizonresearchgroup.com/,False,False,False,False,33.282920332417795,-87.39933553902495,55,Tier 2 ($1M-$5M)
University Of Alabama,University Of Alabama,NPO,Arnab Basu,1669734083.0,619 19th St S,35249.0,Birmingham,AL,46775381.74,Oncology,AV-951-20-304,Not Found,False,False,False,False,33.23259607820249,-87.44175561989776,50,Tier 1 ($5M+)
Heart Rhythm Clinical And Research Solutions,,FPO,Jose Osorio Filho,1821201690.0,1500 1st Avenue Northunit # 77,35201.0,Birmingham,AL,4990757.14,Cardiology,RAF,,False,False,False,False,31.86206124948501,-86.05379498817426,55,Tier 2 ($1M-$5M)
Evolution Research Group Birmingham,Evolution Research Group,FPO,Alexander Prezioso,1982852034.0,12 New Providence Rd,35287.0,Birmingham,AL,4307591.26,Dermatology,M24-696,https://www.ergclinical.com/,False,False,False,False,33.49795046898604,-87.32376523308156,45,Tier 2 ($1M-$5M)
Cahaba Research,,FPO,Michael Vaughn,1730249525.0,"4600 Old Hwy 280, Birmingham, AL 35242, USA",35242.0,Birmingham,AL,3598101.08,Endocrinology,,http://www.cahabaresearch.com/,False,False,False,False,33.09514280895705,-87.11490737087053,55,Tier 2 ($1M-$5M)
Central Research Associates,Flourish Research,FPO,David Deatkine,1336255850.0,"2660 10th Ave S, Birmingham, AL 35205, USA",35242.0,Birmingham,AL,1373930.66,Infectious Disease,mRNA-1010-P303,https://flourishresearch.com/locations/birmingham/,False,True,False,False,33.09514280895705,-87.11490737087053,-145,Tier 2 ($1M-$5M)
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,NPO,Bruce Korf,1306874409.0,1802 6th Ave Sn Pavilion Rm 3470,35233.0,Birmingham,AL,1345647.0,Oncology,IRB-300003645,Not Found,False,False,False,False,32.35312709216449,-87.4214992683299,35,Tier 2 ($1M-$5M)
Central Alabama Research,,FPO,David Mooney,1831350198.0,10 Old Montgomery Hwy Ste 100,35209.0,Birmingham,AL,1235935.09,Infectious Disease,D7000C00001,http://www.centralalabamaresearch.com/,False,False,False,False,31.929963896925308,-87.18178003433279,55,Tier 2 ($1M-$5M)
Alabama Neurology Associates,,FPO,Emily Riser,1124115068.0,"3105 Independence Dr STE 105, Birmingham, AL 35209, USA",35209.0,Birmingham,AL,1096119.5,Neurology,GN41851,http://www.alaneuro.com/,False,False,False,False,31.929963896925308,-87.18178003433279,45,Tier 2 ($1M-$5M)
